request;permission;role
"""I need to update basic properties on device registration policies.""";microsoft.directory/deviceRegistrationPolicy/standard/update;NONE
"""I need to update basic properties on device registration policies.""";microsoft.directory/deviceRegistrationPolicy/standard/update;NONE
"""I need to update basic properties on device registration policies.""";microsoft.directory/deviceRegistrationPolicy/standard/update;NONE
"""I need to update basic properties on device registration policies.""";microsoft.directory/deviceRegistrationPolicy/standard/update;NONE
"""I need to update basic properties on device registration policies.""";microsoft.directory/deviceRegistrationPolicy/standard/update;NONE
"""I need to manage all properties of Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/standard/read;Security Administrator
"""I need to manage all properties of Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/standard/read;Security Administrator
"""I need to manage all properties of Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/standard/read;Security Administrator
"""I need to manage all properties of Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/standard/read;Security Administrator
"""I need to manage all properties of Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/standard/read;Security Administrator
"""I need to read standard properties of federation configuration for domains.""";microsoft.directory/domains/federationConfiguration/standard/read;Global Administrator
"""I need to read standard properties of federation configuration for domains.""";microsoft.directory/domains/federationConfiguration/standard/read;Global Administrator
"""I need to read standard properties of federation configuration for domains.""";microsoft.directory/domains/federationConfiguration/standard/read;Global Administrator
"""I need to read standard properties of federation configuration for domains.""";microsoft.directory/domains/federationConfiguration/standard/read;Global Administrator
"""I need to read standard properties of federation configuration for domains.""";microsoft.directory/domains/federationConfiguration/standard/read;Global Administrator
"""I need to deploy and manage programs in Insights app.""";NONE;NONE
"""I need to deploy and manage programs in Insights app.""";NONE;NONE
"""I need to deploy and manage programs in Insights app.""";NONE;NONE
"""I need to deploy and manage programs in Insights app.""";NONE;NONE
"""I need to deploy and manage programs in Insights app.""";NONE;NONE
"""I need to manage admin consent request policies in Microsoft Entra ID.""";microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks;Global Administrator
"""I need to manage admin consent request policies in Microsoft Entra ID.""";microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks;Global Administrator
"""I need to manage admin consent request policies in Microsoft Entra ID.""";microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks;Global Administrator
"""I need to manage admin consent request policies in Microsoft Entra ID.""";microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks;Global Administrator
"""I need to manage admin consent request policies in Microsoft Entra ID.""";microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks;Global Administrator
"""I need to read basic properties of a tenant participating in a multi-tenant organization.""";microsoft.directory/multiTenantOrganization/tenants/standard/read;Global Administrator
"""I need to read basic properties of a tenant participating in a multi-tenant organization.""";microsoft.directory/multiTenantOrganization/tenants/standard/read;Global Administrator
"""I need to read basic properties of a tenant participating in a multi-tenant organization.""";microsoft.directory/multiTenantOrganization/tenants/standard/read;Global Administrator
"""I need to read basic properties of a tenant participating in a multi-tenant organization.""";microsoft.directory/multiTenantOrganization/tenants/standard/read;Global Administrator
"""I need to read basic properties of a tenant participating in a multi-tenant organization.""";microsoft.directory/multiTenantOrganization/tenants/standard/read;Global Administrator
"""I need to read owners of policies.""";microsoft.directory/applications/owners/read;Directory Readers
"""I need to read owners of policies.""";microsoft.directory/applications/owners/read;Directory Readers
"""I need to read owners of policies.""";microsoft.directory/applications/owners/read;Directory Readers
"""I need to read owners of policies.""";microsoft.directory/applications/owners/read;Directory Readers
"""I need to read owners of policies.""";microsoft.directory/applications/owners/read;Directory Readers
"""I need to grant consent for any permission to any application.""";NONE;NONE
"""I need to grant consent for any permission to any application.""";NONE;NONE
"""I need to grant consent for any permission to any application.""";NONE;NONE
"""I need to grant consent for any permission to any application.""";NONE;NONE
"""I need to grant consent for any permission to any application.""";NONE;NONE
"""I need to read all properties of directory roles.""";microsoft.directory/directoryRoles/allProperties/read;Global Reader
"""I need to read all properties of directory roles.""";microsoft.directory/directoryRoles/allProperties/read;Global Reader
"""I need to read all properties of directory roles.""";microsoft.directory/directoryRoles/allProperties/read;Global Reader
"""I need to read all properties of directory roles.""";microsoft.directory/directoryRoles/allProperties/read;Global Reader
"""I need to read all properties of directory roles.""";microsoft.directory/directoryRoles/allProperties/read;Global Reader
"""I need to read basic properties on an organization.""";microsoft.directory/organization/basic/read;NONE
"""I need to read basic properties on an organization.""";microsoft.directory/organization/basic/read;NONE
"""I need to read basic properties on an organization.""";microsoft.directory/organization/basic/read;NONE
"""I need to read basic properties on an organization.""";microsoft.directory/organization/basic/read;NONE
