request;permission;role
"""I need to update basic properties on device registration policies.""";microsoft.directory/deviceRegistrationPolicy/standard/read;Cloud Device Administrator
"""I need to update basic properties on device registration policies.""";microsoft.directory/deviceRegistrationPolicy/standard/read;Cloud Device Administrator
"""I need to update basic properties on device registration policies.""";microsoft.directory/deviceRegistrationPolicy/standard/read;Cloud Device Administrator
"""I need to update basic properties on device registration policies.""";microsoft.directory/deviceRegistrationPolicy/standard/read;Cloud Device Administrator
"""I need to update basic properties on device registration policies.""";microsoft.directory/deviceRegistrationPolicy/standard/read;Cloud Device Administrator
"""I need to manage all properties of Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/standard/read;Conditional Access Administrator
"""I need to manage all properties of Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/standard/read;Conditional Access Administrator
"""I need to manage all properties of Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/standard/read;Conditional Access Administrator
"""I need to manage all properties of Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/standard/read;Conditional Access Administrator
"""I need to manage all properties of Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/standard/read;Conditional Access Administrator
"""I need to read standard properties of federation configuration for domains.""";microsoft.directory/domains/federationConfiguration/standard/read;Security Reader
"""I need to read standard properties of federation configuration for domains.""";microsoft.directory/domains/federationConfiguration/standard/read;Security Reader
"""I need to read standard properties of federation configuration for domains.""";microsoft.directory/domains/federationConfiguration/standard/read;Security Reader
"""I need to read standard properties of federation configuration for domains.""";microsoft.directory/domains/federationConfiguration/standard/read;Security Reader
"""I need to read standard properties of federation configuration for domains.""";microsoft.directory/domains/federationConfiguration/standard/read;Security Reader
"""I need to deploy and manage programs in Insights app.""";microsoft.viva.goals/allEntities/allProperties/allTasks;Viva Goals Administrator
"""I need to deploy and manage programs in Insights app.""";microsoft.viva.goals/allEntities/allProperties/allTasks;Viva Goals Administrator
"""I need to deploy and manage programs in Insights app.""";microsoft.viva.goals/allEntities/allProperties/allTasks;Viva Goals Administrator
"""I need to deploy and manage programs in Insights app.""";microsoft.viva.goals/allEntities/allProperties/allTasks;Viva Goals Administrator
