request;permission;role
"""I need to update basic properties on device registration policies.""";microsoft.directory/policies/basic/update;Device Management Administrator
"""I need to update basic properties on device registration policies.""";microsoft.directory/policies/basic/update;Device Management Administrator
"""I need to update basic properties on device registration policies.""";microsoft.directory/policies/basic/update;Device Management Administrator
"""I need to update basic properties on device registration policies.""";microsoft.directory/policies/basic/update;Device Management Administrator
"""I need to update basic properties on device registration policies.""";microsoft.directory/policies/basic/update;Device Management Administrator
"""I need to manage all properties of Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/allProperties/allTasks;Conditional Access Administrator
"""I need to manage all properties of Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/allProperties/allTasks;Conditional Access Administrator
"""I need to manage all properties of Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/allProperties/allTasks;Conditional Access Administrator
"""I need to manage all properties of Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/allProperties/allTasks;Conditional Access Administrator
"""I need to manage all properties of Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/allProperties/allTasks;Conditional Access Administrator
"""I need to read standard properties of federation configuration for domains.""";microsoft.directory/federationConfigurations/basic/read;Directory Reader
"""I need to read standard properties of federation configuration for domains.""";microsoft.directory/federationConfigurations/basic/read;Directory Reader
"""I need to read standard properties of federation configuration for domains.""";microsoft.directory/federationConfigurations/basic/read;Directory Reader
"""I need to read standard properties of federation configuration for domains.""";microsoft.directory/federationConfigurations/basic/read;Directory Reader
"""I need to read standard properties of federation configuration for domains.""";microsoft.directory/federationConfigurations/basic/read;Directory Reader
"""I need to deploy and manage programs in Insights app.""";microsoft.insights/programs/write;Insights Administrator
"""I need to deploy and manage programs in Insights app.""";microsoft.insights/programs/write;Insights Administrator
"""I need to deploy and manage programs in Insights app.""";microsoft.insights/programs/write;Insights Administrator
"""I need to deploy and manage programs in Insights app.""";microsoft.insights/programs/write;Insights Administrator
"""I need to deploy and manage programs in Insights app.""";microsoft.insights/programs/write;Insights Administrator
"""I need to manage admin consent request policies in Microsoft Entra ID.""";microsoft.directory/policies/adminConsentRequestPolicy/basic/update;Policy Admin
"""I need to manage admin consent request policies in Microsoft Entra ID.""";microsoft.directory/policies/adminConsentRequestPolicy/basic/update;Policy Admin
"""I need to manage admin consent request policies in Microsoft Entra ID.""";microsoft.directory/policies/adminConsentRequestPolicy/basic/update;Policy Admin
