request;permission;role;Candidate_Roles
"""I need to update basic properties on device registration policies.""";microsoft.directory/deviceRegistrationPolicy/standard/update;NONE;NONE
"""I need to update basic properties on device registration policies.""";microsoft.directory/deviceRegistrationPolicy/standard/update;NONE;NONE
"""I need to update basic properties on device registration policies.""";microsoft.directory/deviceRegistrationPolicy/standard/update;NONE;NONE
"""I need to update basic properties on device registration policies.""";microsoft.directory/deviceRegistrationPolicy/standard/update;NONE;NONE
"""I need to update basic properties on device registration policies.""";microsoft.directory/deviceRegistrationPolicy/standard/update;NONE;NONE
"""I need to manage all properties of Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/standard/read;Security Administrator;Security Administrator(80), Security Reader(32), Global Secure Access Administrator(20), Conditional Access Administrator(13)
"""I need to manage all properties of Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/standard/read;Security Administrator;Security Administrator(80), Security Reader(32), Global Secure Access Administrator(20), Conditional Access Administrator(13)
"""I need to manage all properties of Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/standard/read;Security Administrator;Security Administrator(80), Security Reader(32), Global Secure Access Administrator(20), Conditional Access Administrator(13)
"""I need to manage all properties of Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/standard/read;Security Administrator;Security Administrator(80), Security Reader(32), Global Secure Access Administrator(20), Conditional Access Administrator(13)
"""I need to manage all properties of Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/standard/read;Security Administrator;Security Administrator(80), Security Reader(32), Global Secure Access Administrator(20), Conditional Access Administrator(13)
"""I need to read standard properties of federation configuration for domains.""";microsoft.directory/domains/federationConfiguration/standard/read;Global Administrator;Global Administrator(205), Global Reader(95), Security Administrator(80), Hybrid Identity Administrator(60), Security Reader(32)
"""I need to read standard properties of federation configuration for domains.""";microsoft.directory/domains/federationConfiguration/standard/read;Global Administrator;Global Administrator(205), Global Reader(95), Security Administrator(80), Hybrid Identity Administrator(60), Security Reader(32)
"""I need to read standard properties of federation configuration for domains.""";microsoft.directory/domains/federationConfiguration/standard/read;Global Administrator;Global Administrator(205), Global Reader(95), Security Administrator(80), Hybrid Identity Administrator(60), Security Reader(32)
