request;permission;role;Candidate_Roles
I need to list the access keys for the storage accounts.;Microsoft.Storage/storageAccounts/listkeys/action;Storage Account Key Operator Service Role;Storage Account Key Operator Service Role(2), Reader and Data Access(3)
I need to list the access keys for the storage accounts.;Microsoft.Storage/storageAccounts/listkeys/action;Storage Account Key Operator Service Role;Storage Account Key Operator Service Role(2), Reader and Data Access(3)
I need to list the access keys for the storage accounts.;Microsoft.Storage/storageAccounts/listkeys/action;Storage Account Key Operator Service Role;Storage Account Key Operator Service Role(2), Reader and Data Access(3)
I need to list the access keys for the storage accounts.;Microsoft.Storage/storageAccounts/listkeys/action;Storage Account Key Operator Service Role;Storage Account Key Operator Service Role(2), Reader and Data Access(3)
I need to list the access keys for the storage accounts.;Microsoft.Storage/storageAccounts/listkeys/action;Storage Account Key Operator Service Role;Storage Account Key Operator Service Role(2), Reader and Data Access(3)
I need full permissions on containers.;Microsoft.Storage/storageAccounts/blobServices/containers/*;Storage Blob Data Owner;Storage Blob Data Owner(3)
I need full permissions on containers.;Microsoft.Storage/storageAccounts/blobServices/containers/*;Storage Blob Data Owner;Storage Blob Data Owner(3)
I need full permissions on containers.;Microsoft.Storage/storageAccounts/blobServices/containers/*;Storage Blob Data Owner;Storage Blob Data Owner(3)
I need full permissions on containers.;Microsoft.Storage/storageAccounts/blobServices/containers/*;Storage Blob Data Owner;Storage Blob Data Owner(3)
I need full permissions on containers.;Microsoft.Storage/storageAccounts/blobServices/containers/*;Storage Blob Data Owner;Storage Blob Data Owner(3)
I need to insert, merge, or replace table entities.;Microsoft.Storage/storageAccounts/tableServices/tables/entities/add/action;Storage Table Data Contributor;Storage Table Data Contributor(8)
I need to insert, merge, or replace table entities.;Microsoft.Storage/storageAccounts/tableServices/tables/entities/add/action;Storage Table Data Contributor;Storage Table Data Contributor(8)
I need to insert, merge, or replace table entities.;Microsoft.Storage/storageAccounts/tableServices/tables/entities/add/action;Storage Table Data Contributor;Storage Table Data Contributor(8)
I need to insert, merge, or replace table entities.;Microsoft.Storage/storageAccounts/tableServices/tables/entities/add/action;Storage Table Data Contributor;Storage Table Data Contributor(8)
I need to insert, merge, or replace table entities.;Microsoft.Storage/storageAccounts/tableServices/tables/entities/add/action;Storage Table Data Contributor;Storage Table Data Contributor(8)
I need to get a virtual network subnet definition.;Microsoft.Network/virtualNetworks/subnets/read;Avere Operator;Avere Operator(14), Avere Contributor(23)
I need to get a virtual network subnet definition.;Microsoft.Network/virtualNetworks/subnets/read;Avere Operator;Avere Operator(14), Avere Contributor(23)
I need to get a virtual network subnet definition.;Microsoft.Network/virtualNetworks/subnets/read;Avere Operator;Avere Operator(14), Avere Contributor(23)
I need to get a virtual network subnet definition.;Microsoft.Network/virtualNetworks/subnets/read;Avere Operator;Avere Operator(14), Avere Contributor(23)
I need to get a virtual network subnet definition.;Microsoft.Network/virtualNetworks/subnets/read;Avere Operator;Avere Operator(14), Avere Contributor(23)
I need to perform Backup for Protected Item.;Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/protectedItems/backup/action;Backup Operator;Backup Operator(102)
I need to perform Backup for Protected Item.;Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/protectedItems/backup/action;Backup Operator;Backup Operator(102)
I need to perform Backup for Protected Item.;Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/protectedItems/backup/action;Backup Operator;Backup Operator(102)
I need to perform Backup for Protected Item.;Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/protectedItems/backup/action;Backup Operator;Backup Operator(102)
I need to perform Backup for Protected Item.;Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/protectedItems/backup/action;Backup Operator;Backup Operator(102)
I need to get Status of Policy Operation.;Microsoft.RecoveryServices/Vaults/backupPolicies/operations/read;Backup Reader;Backup Reader(68), Backup Operator(102)
I need to get Status of Policy Operation.;Microsoft.RecoveryServices/Vaults/backupPolicies/operations/read;Backup Reader;Backup Reader(68), Backup Operator(102)
I need to get Status of Policy Operation.;Microsoft.RecoveryServices/Vaults/backupPolicies/operations/read;Backup Reader;Backup Reader(68), Backup Operator(102)
I need to get Status of Policy Operation.;Microsoft.RecoveryServices/Vaults/backupPolicies/operations/read;Backup Reader;Backup Reader(68), Backup Operator(102)
I need to get Status of Policy Operation.;Microsoft.RecoveryServices/Vaults/backupPolicies/operations/read;Backup Reader;Backup Reader(68), Backup Operator(102)
I need to restore Recovery Points for Protected Items.;Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/protectedItems/recoveryPoints/restore/action;Backup Operator;Backup Operator(102)
I need to restore Recovery Points for Protected Items.;Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/protectedItems/recoveryPoints/restore/action;Backup Operator;Backup Operator(102)
I need to restore Recovery Points for Protected Items.;Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/protectedItems/recoveryPoints/restore/action;Backup Operator;Backup Operator(102)
I need to restore Recovery Points for Protected Items.;Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/protectedItems/recoveryPoints/restore/action;Backup Operator;Backup Operator(102)
I need to restore Recovery Points for Protected Items.;Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/protectedItems/recoveryPoints/restore/action;Backup Operator;Backup Operator(102)
I need to query table entities.;Microsoft.Storage/storageAccounts/tableServices/tables/entities/read;Storage Table Data Reader;Storage Table Data Reader(2), Storage Table Data Contributor(8)
I need to query table entities.;Microsoft.Storage/storageAccounts/tableServices/tables/entities/read;Storage Table Data Reader;Storage Table Data Reader(2), Storage Table Data Contributor(8)
I need to query table entities.;Microsoft.Storage/storageAccounts/tableServices/tables/entities/read;Storage Table Data Reader;Storage Table Data Reader(2), Storage Table Data Contributor(8)
I need to query table entities.;Microsoft.Storage/storageAccounts/tableServices/tables/entities/read;Storage Table Data Reader;Storage Table Data Reader(2), Storage Table Data Contributor(8)
I need to query table entities.;Microsoft.Storage/storageAccounts/tableServices/tables/entities/read;Storage Table Data Reader;Storage Table Data Reader(2), Storage Table Data Contributor(8)
I need to create a registered container.;Microsoft.Storage/storageAccounts/blobServices/containers/write;Storage Blob Data Contributor;Storage Blob Data Contributor(9), Avere Operator(14), Storage Account Backup Contributor(18)
I need to create a registered container.;Microsoft.Storage/storageAccounts/blobServices/containers/write;Storage Blob Data Contributor;Storage Blob Data Contributor(9), Avere Operator(14), Storage Account Backup Contributor(18)
I need to create a registered container.;Microsoft.Storage/storageAccounts/blobServices/containers/write;Storage Blob Data Contributor;Storage Blob Data Contributor(9), Avere Operator(14), Storage Account Backup Contributor(18)
I need to create a registered container.;Microsoft.Storage/storageAccounts/blobServices/containers/write;Storage Blob Data Contributor;Storage Blob Data Contributor(9), Avere Operator(14), Storage Account Backup Contributor(18)
I need to create a registered container.;Microsoft.Storage/storageAccounts/blobServices/containers/write;Storage Blob Data Contributor;Storage Blob Data Contributor(9), Avere Operator(14), Storage Account Backup Contributor(18)
I need to write File Backup Semantics Privilege.;Microsoft.Storage/storageAccounts/fileServices/writeFileBackupSemantics/action;Storage File Data Privileged Contributor;Storage File Data Privileged Contributor(6)
I need to write File Backup Semantics Privilege.;Microsoft.Storage/storageAccounts/fileServices/writeFileBackupSemantics/action;Storage File Data Privileged Contributor;Storage File Data Privileged Contributor(6)
I need to write File Backup Semantics Privilege.;Microsoft.Storage/storageAccounts/fileServices/writeFileBackupSemantics/action;Storage File Data Privileged Contributor;Storage File Data Privileged Contributor(6)
I need to write File Backup Semantics Privilege.;Microsoft.Storage/storageAccounts/fileServices/writeFileBackupSemantics/action;Storage File Data Privileged Contributor;Storage File Data Privileged Contributor(6)
I need to write File Backup Semantics Privilege.;Microsoft.Storage/storageAccounts/fileServices/writeFileBackupSemantics/action;Storage File Data Privileged Contributor;Storage File Data Privileged Contributor(6)
I need to unlink a Storage account from a DataLakeAnalytics account.;Microsoft.DataLakeAnalytics/accounts/storageAccounts/Delete;Data Lake Analytics Developer;Data Lake Analytics Developer(22)
I need to unlink a Storage account from a DataLakeAnalytics account.;Microsoft.DataLakeAnalytics/accounts/storageAccounts/Delete;Data Lake Analytics Developer;Data Lake Analytics Developer(22)
I need to unlink a Storage account from a DataLakeAnalytics account.;Microsoft.DataLakeAnalytics/accounts/storageAccounts/Delete;Data Lake Analytics Developer;Data Lake Analytics Developer(22)
I need to unlink a Storage account from a DataLakeAnalytics account.;Microsoft.DataLakeAnalytics/accounts/storageAccounts/Delete;Data Lake Analytics Developer;Data Lake Analytics Developer(22)
I need to unlink a Storage account from a DataLakeAnalytics account.;Microsoft.DataLakeAnalytics/accounts/storageAccounts/Delete;Data Lake Analytics Developer;Data Lake Analytics Developer(22)
I need to peek a message.;Microsoft.Storage/storageAccounts/queueServices/queues/messages/read;Storage Queue Data Message Processor;Storage Queue Data Message Processor(2), Storage Queue Data Reader(2), Storage Queue Data Contributor(7)
I need to peek a message.;Microsoft.Storage/storageAccounts/queueServices/queues/messages/read;Storage Queue Data Message Processor;Storage Queue Data Message Processor(2), Storage Queue Data Reader(2), Storage Queue Data Contributor(7)
I need to peek a message.;Microsoft.Storage/storageAccounts/queueServices/queues/messages/read;Storage Queue Data Message Processor;Storage Queue Data Message Processor(2), Storage Queue Data Reader(2), Storage Queue Data Contributor(7)
I need to peek a message.;Microsoft.Storage/storageAccounts/queueServices/queues/messages/read;Storage Queue Data Message Processor;Storage Queue Data Message Processor(2), Storage Queue Data Reader(2), Storage Queue Data Contributor(7)
I need to peek a message.;Microsoft.Storage/storageAccounts/queueServices/queues/messages/read;Storage Queue Data Message Processor;Storage Queue Data Message Processor(2), Storage Queue Data Reader(2), Storage Queue Data Contributor(7)
I need to create a Backup Instance.;Microsoft.DataProtection/backupVaults/backupInstances/write;Backup Reader;Backup Reader(68), Backup Contributor(86), Backup Operator(102)
I need to create a Backup Instance.;Microsoft.DataProtection/backupVaults/backupInstances/write;Backup Reader;Backup Reader(68), Backup Contributor(86), Backup Operator(102)
I need to create a Backup Instance.;Microsoft.DataProtection/backupVaults/backupInstances/write;Backup Reader;Backup Reader(68), Backup Contributor(86), Backup Operator(102)
I need to create a Backup Instance.;Microsoft.DataProtection/backupVaults/backupInstances/write;Backup Reader;Backup Reader(68), Backup Contributor(86), Backup Operator(102)
I need to create a Backup Instance.;Microsoft.DataProtection/backupVaults/backupInstances/write;Backup Reader;Backup Reader(68), Backup Contributor(86), Backup Operator(102)
I need to update an Azure resource of type 'ResourceGuard'.;Microsoft.DataProtection/backupVaults/backupResourceGuardProxies/write;Backup MUA Admin;Backup MUA Admin(26), Backup Contributor(86), Backup Operator(102)
I need to update an Azure resource of type 'ResourceGuard'.;Microsoft.DataProtection/backupVaults/backupResourceGuardProxies/write;Backup MUA Admin;Backup MUA Admin(26), Backup Contributor(86), Backup Operator(102)
