request;permission;role;Candidate_Roles
I need to update basic properties on device registration policies.;NONE;NONE;NONE
I need to update basic properties on device registration policies.;NONE;NONE;NONE
I need to update basic properties on device registration policies.;NONE;NONE;NONE
I need to update basic properties on device registration policies.;NONE;NONE;NONE
I need to update basic properties on device registration policies.;NONE;NONE;NONE
I need to manage all properties of Conditional Access policies.;NONE;NONE;NONE
I need to manage all properties of Conditional Access policies.;NONE;NONE;NONE
I need to manage all properties of Conditional Access policies.;NONE;NONE;NONE
I need to manage all properties of Conditional Access policies.;NONE;NONE;NONE
I need to manage all properties of Conditional Access policies.;NONE;NONE;NONE
I need to read standard properties of federation configuration for domains.;microsoft.directory/domains/federationConfiguration/standard/read;Security Reader;Security Reader(32), Hybrid Identity Administrator(60), Security Administrator(80), Global Reader(95), Global Administrator(205)
I need to read standard properties of federation configuration for domains.;microsoft.directory/domains/federationConfiguration/standard/read;Security Reader;Security Reader(32), Hybrid Identity Administrator(60), Security Administrator(80), Global Reader(95), Global Administrator(205)
I need to read standard properties of federation configuration for domains.;microsoft.directory/domains/federationConfiguration/standard/read;Security Reader;Security Reader(32), Hybrid Identity Administrator(60), Security Administrator(80), Global Reader(95), Global Administrator(205)
I need to read standard properties of federation configuration for domains.;microsoft.directory/domains/federationConfiguration/standard/read;Security Reader;Security Reader(32), Hybrid Identity Administrator(60), Security Administrator(80), Global Reader(95), Global Administrator(205)
I need to read standard properties of federation configuration for domains.;microsoft.directory/domains/federationConfiguration/standard/read;Security Reader;Security Reader(32), Hybrid Identity Administrator(60), Security Administrator(80), Global Reader(95), Global Administrator(205)
I need to deploy and manage programs in Insights app.;microsoft.insights/programs/allProperties/update;Insights Business Leader;Insights Business Leader(2)
I need to deploy and manage programs in Insights app.;microsoft.insights/programs/allProperties/update;Insights Business Leader;Insights Business Leader(2)
I need to deploy and manage programs in Insights app.;microsoft.insights/programs/allProperties/update;Insights Business Leader;Insights Business Leader(2)
I need to deploy and manage programs in Insights app.;microsoft.insights/programs/allProperties/update;Insights Business Leader;Insights Business Leader(2)
I need to deploy and manage programs in Insights app.;microsoft.insights/programs/allProperties/update;Insights Business Leader;Insights Business Leader(2)
I need to manage admin consent request policies in Microsoft Entra ID.;microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks;Cloud Application Administrator;Cloud Application Administrator(60), Application Administrator(72), Global Administrator(205)
I need to manage admin consent request policies in Microsoft Entra ID.;microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks;Cloud Application Administrator;Cloud Application Administrator(60), Application Administrator(72), Global Administrator(205)
I need to manage admin consent request policies in Microsoft Entra ID.;microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks;Cloud Application Administrator;Cloud Application Administrator(60), Application Administrator(72), Global Administrator(205)
I need to manage admin consent request policies in Microsoft Entra ID.;microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks;Cloud Application Administrator;Cloud Application Administrator(60), Application Administrator(72), Global Administrator(205)
I need to manage admin consent request policies in Microsoft Entra ID.;microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks;Cloud Application Administrator;Cloud Application Administrator(60), Application Administrator(72), Global Administrator(205)
I need to read basic properties of a tenant participating in a multi-tenant organization.;microsoft.directory/multiTenantOrganization/tenants/standard/read;Security Reader;Security Reader(32), Security Administrator(80), Global Reader(95), Global Administrator(205)
I need to read basic properties of a tenant participating in a multi-tenant organization.;microsoft.directory/multiTenantOrganization/tenants/standard/read;Security Reader;Security Reader(32), Security Administrator(80), Global Reader(95), Global Administrator(205)
I need to read basic properties of a tenant participating in a multi-tenant organization.;microsoft.directory/multiTenantOrganization/tenants/standard/read;Security Reader;Security Reader(32), Security Administrator(80), Global Reader(95), Global Administrator(205)
I need to read basic properties of a tenant participating in a multi-tenant organization.;microsoft.directory/multiTenantOrganization/tenants/standard/read;Security Reader;Security Reader(32), Security Administrator(80), Global Reader(95), Global Administrator(205)
I need to read basic properties of a tenant participating in a multi-tenant organization.;microsoft.directory/multiTenantOrganization/tenants/standard/read;Security Reader;Security Reader(32), Security Administrator(80), Global Reader(95), Global Administrator(205)
I need to read owners of policies.;microsoft.directory/policies/owners/read;Security Reader;Security Reader(32)
I need to read owners of policies.;microsoft.directory/policies/owners/read;Security Reader;Security Reader(32)
I need to read owners of policies.;microsoft.directory/policies/owners/read;Security Reader;Security Reader(32)
I need to read owners of policies.;microsoft.directory/policies/owners/read;Security Reader;Security Reader(32)
I need to read owners of policies.;microsoft.directory/policies/owners/read;Security Reader;Security Reader(32)
I need to grant consent for any permission to any application.;microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks;Cloud Application Administrator;Cloud Application Administrator(60), Application Administrator(72), Global Administrator(205)
I need to grant consent for any permission to any application.;microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks;Cloud Application Administrator;Cloud Application Administrator(60), Application Administrator(72), Global Administrator(205)
I need to grant consent for any permission to any application.;microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks;Cloud Application Administrator;Cloud Application Administrator(60), Application Administrator(72), Global Administrator(205)
I need to grant consent for any permission to any application.;microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks;Cloud Application Administrator;Cloud Application Administrator(60), Application Administrator(72), Global Administrator(205)
I need to grant consent for any permission to any application.;microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks;Cloud Application Administrator;Cloud Application Administrator(60), Application Administrator(72), Global Administrator(205)
I need to read all properties of directory roles.;microsoft.directory/directoryRoleTemplates/allProperties/read;Global Reader;Global Reader(95)
I need to read all properties of directory roles.;microsoft.directory/directoryRoleTemplates/allProperties/read;Global Reader;Global Reader(95)
I need to read all properties of directory roles.;microsoft.directory/directoryRoleTemplates/allProperties/read;Global Reader;Global Reader(95)
I need to read all properties of directory roles.;microsoft.directory/directoryRoleTemplates/allProperties/read;Global Reader;Global Reader(95)
I need to read all properties of directory roles.;microsoft.directory/directoryRoleTemplates/allProperties/read;Global Reader;Global Reader(95)
I need to read basic properties on an organization.;microsoft.directory/multiTenantOrganization/standard/read;Security Reader;Security Reader(32), Security Administrator(80), Global Reader(95), Global Administrator(205)
I need to read basic properties on an organization.;microsoft.directory/multiTenantOrganization/standard/read;Security Reader;Security Reader(32), Security Administrator(80), Global Reader(95), Global Administrator(205)
I need to read basic properties on an organization.;microsoft.directory/multiTenantOrganization/standard/read;Security Reader;Security Reader(32), Security Administrator(80), Global Reader(95), Global Administrator(205)
I need to read basic properties on an organization.;microsoft.directory/multiTenantOrganization/standard/read;Security Reader;Security Reader(32), Security Administrator(80), Global Reader(95), Global Administrator(205)
I need to read basic properties on an organization.;microsoft.directory/multiTenantOrganization/standard/read;Security Reader;Security Reader(32), Security Administrator(80), Global Reader(95), Global Administrator(205)
I need to disable service principals.;microsoft.directory/servicePrincipals/disable;Cloud Application Administrator;Cloud Application Administrator(60), Hybrid Identity Administrator(60), Application Administrator(72)
I need to disable service principals.;microsoft.directory/servicePrincipals/disable;Cloud Application Administrator;Cloud Application Administrator(60), Hybrid Identity Administrator(60), Application Administrator(72)
I need to disable service principals.;microsoft.directory/servicePrincipals/disable;Cloud Application Administrator;Cloud Application Administrator(60), Hybrid Identity Administrator(60), Application Administrator(72)
I need to disable service principals.;microsoft.directory/servicePrincipals/disable;Cloud Application Administrator;Cloud Application Administrator(60), Hybrid Identity Administrator(60), Application Administrator(72)
I need to disable service principals.;microsoft.directory/servicePrincipals/disable;Cloud Application Administrator;Cloud Application Administrator(60), Hybrid Identity Administrator(60), Application Administrator(72)
I need to read policies.policyAppliedTo property.;microsoft.directory/applicationPolicies/policyAppliedTo/read;Cloud Application Administrator;Cloud Application Administrator(60), Application Administrator(72)
I need to read policies.policyAppliedTo property.;microsoft.directory/applicationPolicies/policyAppliedTo/read;Cloud Application Administrator;Cloud Application Administrator(60), Application Administrator(72)
I need to read policies.policyAppliedTo property.;microsoft.directory/applicationPolicies/policyAppliedTo/read;Cloud Application Administrator;Cloud Application Administrator(60), Application Administrator(72)
I need to read policies.policyAppliedTo property.;microsoft.directory/applicationPolicies/policyAppliedTo/read;Cloud Application Administrator;Cloud Application Administrator(60), Application Administrator(72)
I need to read policies.policyAppliedTo property.;microsoft.directory/applicationPolicies/policyAppliedTo/read;Cloud Application Administrator;Cloud Application Administrator(60), Application Administrator(72)
I need to read all aspects of Viva Insights.;NONE;NONE;NONE
