request;permission;role
"""I need to update basic properties on device registration policies.""";policy/deviceRegistrationPolicy/update;Device Policy Administrator
"""I need to update basic properties on device registration policies.""";policy/deviceRegistrationPolicy/update;Device Policy Administrator
"""I need to update basic properties on device registration policies.""";policy/deviceRegistrationPolicy/update;Device Policy Administrator
"""I need to update basic properties on device registration policies.""";policy/deviceRegistrationPolicy/update;Device Policy Administrator
"""I need to update basic properties on device registration policies.""";policy/deviceRegistrationPolicy/update;Device Policy Administrator
"""I need to manage all properties of Conditional Access policies.""";policy/conditionalAccessPolicy/assign;Conditional Access Administrator
"""I need to manage all properties of Conditional Access policies.""";policy/conditionalAccessPolicy/assign;Conditional Access Administrator
"""I need to manage all properties of Conditional Access policies.""";policy/conditionalAccessPolicy/assign;Conditional Access Administrator
"""I need to manage all properties of Conditional Access policies.""";policy/conditionalAccessPolicy/assign;Conditional Access Administrator
"""I need to manage all properties of Conditional Access policies.""";policy/conditionalAccessPolicy/assign;Conditional Access Administrator
"""I need to read standard properties of federation configuration for domains.""";Domain/Read;Domain Administrator
"""I need to read standard properties of federation configuration for domains.""";Domain/Read;Domain Administrator
"""I need to read standard properties of federation configuration for domains.""";Domain/Read;Domain Administrator
"""I need to read standard properties of federation configuration for domains.""";Domain/Read;Domain Administrator
"""I need to read standard properties of federation configuration for domains.""";Domain/Read;Domain Administrator
"""I need to deploy and manage programs in Insights app.""";Microsoft.Insights/components/write;Monitoring Reader
"""I need to deploy and manage programs in Insights app.""";Microsoft.Insights/components/write;Monitoring Reader
"""I need to deploy and manage programs in Insights app.""";Microsoft.Insights/components/write;Monitoring Reader
"""I need to deploy and manage programs in Insights app.""";Microsoft.Insights/components/write;Monitoring Reader
"""I need to deploy and manage programs in Insights app.""";Microsoft.Insights/components/write;Monitoring Reader
"""I need to manage admin consent request policies in Microsoft Entra ID.""";policy/readWrite.authorizationPermission;Authorization Administrator
"""I need to manage admin consent request policies in Microsoft Entra ID.""";policy/readWrite.authorizationPermission;Authorization Administrator
"""I need to manage admin consent request policies in Microsoft Entra ID.""";policy/readWrite.authorizationPermission;Authorization Administrator
"""I need to manage admin consent request policies in Microsoft Entra ID.""";policy/readWrite.authorizationPermission;Authorization Administrator
"""I need to manage admin consent request policies in Microsoft Entra ID.""";policy/readWrite.authorizationPermission;Authorization Administrator
"""I need to read basic properties of a tenant participating in a multi-tenant organization.""";organization/read;Organization Reader
"""I need to read basic properties of a tenant participating in a multi-tenant organization.""";organization/read;Organization Reader
"""I need to read basic properties of a tenant participating in a multi-tenant organization.""";organization/read;Organization Reader
"""I need to read basic properties of a tenant participating in a multi-tenant organization.""";organization/read;Organization Reader
"""I need to read basic properties of a tenant participating in a multi-tenant organization.""";organization/read;Organization Reader
"""I need to read owners of policies.""";policy/read;Policy Reader
"""I need to read owners of policies.""";policy/read;Policy Reader
"""I need to read owners of policies.""";policy/read;Policy Reader
"""I need to read owners of policies.""";policy/read;Policy Reader
"""I need to read owners of policies.""";policy/read;Policy Reader
"""I need to grant consent for any permission to any application.""";directory/consentGrant/any;Global Administrator
"""I need to grant consent for any permission to any application.""";directory/consentGrant/any;Global Administrator
"""I need to grant consent for any permission to any application.""";directory/consentGrant/any;Global Administrator
"""I need to grant consent for any permission to any application.""";directory/consentGrant/any;Global Administrator
"""I need to grant consent for any permission to any application.""";directory/consentGrant/any;Global Administrator
"""I need to read all properties of directory roles.""";DirectoryRole/Read.All;Directory Readers
"""I need to read all properties of directory roles.""";DirectoryRole/Read.All;Directory Readers
"""I need to read all properties of directory roles.""";DirectoryRole/Read.All;Directory Readers
"""I need to read all properties of directory roles.""";DirectoryRole/Read.All;Directory Readers
"""I need to read all properties of directory roles.""";DirectoryRole/Read.All;Directory Readers
"""I need to read basic properties on an organization.""";Organization/Read;Directory Readers
"""I need to read basic properties on an organization.""";Organization/Read;Directory Readers
"""I need to read basic properties on an organization.""";Organization/Read;Directory Readers
"""I need to read basic properties on an organization.""";Organization/Read;Directory Readers
"""I need to read basic properties on an organization.""";Organization/Read;Directory Readers
"""I need to disable service principals.""";servicePrincipal/disable;Service Principal Administrator
"""I need to disable service principals.""";servicePrincipal/disable;Service Principal Administrator
"""I need to disable service principals.""";servicePrincipal/disable;Service Principal Administrator
"""I need to disable service principals.""";servicePrincipal/disable;Service Principal Administrator
"""I need to disable service principals.""";servicePrincipal/disable;Service Principal Administrator
"""I need to read policies.policyAppliedTo property.""";policies/policyAppliedTo/read;Policy Reader
"""I need to read policies.policyAppliedTo property.""";policies/policyAppliedTo/read;Policy Reader
"""I need to read policies.policyAppliedTo property.""";policies/policyAppliedTo/read;Policy Reader
"""I need to read policies.policyAppliedTo property.""";policies/policyAppliedTo/read;Policy Reader
"""I need to read policies.policyAppliedTo property.""";policies/policyAppliedTo/read;Policy Reader
"""I need to read all aspects of Viva Insights.""";Insights.Read.All;Insights Reader
"""I need to read all aspects of Viva Insights.""";Insights.Read.All;Insights Reader
"""I need to read all aspects of Viva Insights.""";Insights.Read.All;Insights Reader
"""I need to read all aspects of Viva Insights.""";Insights.Read.All;Insights Reader
"""I need to read all aspects of Viva Insights.""";Insights.Read.All;Insights Reader
"""I need to update custom security attribute values for devices.""";microsoft.graph.device/updateCustomSecurityAttributes;Security Administrator
"""I need to update custom security attribute values for devices.""";microsoft.graph.device/updateCustomSecurityAttributes;Security Administrator
"""I need to update custom security attribute values for devices.""";microsoft.graph.device/updateCustomSecurityAttributes;Security Administrator
"""I need to update custom security attribute values for devices.""";microsoft.graph.device/updateCustomSecurityAttributes;Security Administrator
"""I need to update custom security attribute values for devices.""";microsoft.graph.device/updateCustomSecurityAttributes;Security Administrator
"""I need to create custom rules that define network locations.""";microsoft.graph/networkAccess/conditionalAccess/policies/write;Conditional Access Administrator
"""I need to create custom rules that define network locations.""";microsoft.graph/networkAccess/conditionalAccess/policies/write;Conditional Access Administrator
"""I need to create custom rules that define network locations.""";microsoft.graph/networkAccess/conditionalAccess/policies/write;Conditional Access Administrator
"""I need to create custom rules that define network locations.""";microsoft.graph/networkAccess/conditionalAccess/policies/write;Conditional Access Administrator
"""I need to create custom rules that define network locations.""";microsoft.graph/networkAccess/conditionalAccess/policies/write;Conditional Access Administrator
"""I need to read members of administrative units.""";Directory/ReadMembers/AdministrativeUnit;Directory Readers
"""I need to read members of administrative units.""";Directory/ReadMembers/AdministrativeUnit;Directory Readers
"""I need to read members of administrative units.""";Directory/ReadMembers/AdministrativeUnit;Directory Readers
"""I need to read members of administrative units.""";Directory/ReadMembers/AdministrativeUnit;Directory Readers
"""I need to read members of administrative units.""";Directory/ReadMembers/AdministrativeUnit;Directory Readers
"""I need to read analytics reports of content understanding in Microsoft 365 admin center.""";microsoft.graph/read;Reports Reader
"""I need to read analytics reports of content understanding in Microsoft 365 admin center.""";microsoft.graph/read;Reports Reader
"""I need to read analytics reports of content understanding in Microsoft 365 admin center.""";microsoft.graph/read;Reports Reader
"""I need to read analytics reports of content understanding in Microsoft 365 admin center.""";microsoft.graph/read;Reports Reader
"""I need to read analytics reports of content understanding in Microsoft 365 admin center.""";microsoft.graph/read;Reports Reader
"""I need to read all properties of private network connectors.""";Microsoft.Network/privateLinkServices/read;Reader
"""I need to read all properties of private network connectors.""";Microsoft.Network/privateLinkServices/read;Reader
"""I need to read all properties of private network connectors.""";Microsoft.Network/privateLinkServices/read;Reader
"""I need to read all properties of private network connectors.""";Microsoft.Network/privateLinkServices/read;Reader
"""I need to read all properties of private network connectors.""";Microsoft.Network/privateLinkServices/read;Reader
"""I need to manage aspects of Microsoft Graph Data Connect.""";microsoft.graph/dataConnect/manage;Data Connect Administrator
"""I need to manage aspects of Microsoft Graph Data Connect.""";microsoft.graph/dataConnect/manage;Data Connect Administrator
"""I need to manage aspects of Microsoft Graph Data Connect.""";microsoft.graph/dataConnect/manage;Data Connect Administrator
"""I need to manage aspects of Microsoft Graph Data Connect.""";microsoft.graph/dataConnect/manage;Data Connect Administrator
"""I need to manage aspects of Microsoft Graph Data Connect.""";microsoft.graph/dataConnect/manage;Data Connect Administrator
"""I need to manage access reviews of application role assignments in Microsoft Entra ID.""";microsoft.graph/accessReview/start;Access Review Administrator
"""I need to manage access reviews of application role assignments in Microsoft Entra ID.""";microsoft.graph/accessReview/start;Access Review Administrator
"""I need to manage access reviews of application role assignments in Microsoft Entra ID.""";microsoft.graph/accessReview/start;Access Review Administrator
"""I need to manage access reviews of application role assignments in Microsoft Entra ID.""";microsoft.graph/accessReview/start;Access Review Administrator
"""I need to manage access reviews of application role assignments in Microsoft Entra ID.""";microsoft.graph/accessReview/start;Access Review Administrator
"""I need to manage all aspects of attribute sets.""";microsoft.directory/attributeSets/manage;Attribute Set Administrator
"""I need to manage all aspects of attribute sets.""";microsoft.directory/attributeSets/manage;Attribute Set Administrator
"""I need to manage all aspects of attribute sets.""";microsoft.directory/attributeSets/manage;Attribute Set Administrator
"""I need to manage all aspects of attribute sets.""";microsoft.directory/attributeSets/manage;Attribute Set Administrator
"""I need to manage all aspects of attribute sets.""";microsoft.directory/attributeSets/manage;Attribute Set Administrator
"""I need to delete certificate authority configurations for Internet of Things (IoT) device.""";IoT Hub/CA Certificates/Delete;IoT Hub Contributor
"""I need to delete certificate authority configurations for Internet of Things (IoT) device.""";IoT Hub/CA Certificates/Delete;IoT Hub Contributor
"""I need to delete certificate authority configurations for Internet of Things (IoT) device.""";IoT Hub/CA Certificates/Delete;IoT Hub Contributor
"""I need to delete certificate authority configurations for Internet of Things (IoT) device.""";IoT Hub/CA Certificates/Delete;IoT Hub Contributor
"""I need to delete certificate authority configurations for Internet of Things (IoT) device.""";IoT Hub/CA Certificates/Delete;IoT Hub Contributor
"""I need to update the dynamic membership rule on Security groups, excluding role-assignable groups.""";group/basic.update;Groups Administrator
"""I need to update the dynamic membership rule on Security groups, excluding role-assignable groups.""";group/basic.update;Groups Administrator
"""I need to update the dynamic membership rule on Security groups, excluding role-assignable groups.""";group/basic.update;Groups Administrator
"""I need to update the dynamic membership rule on Security groups, excluding role-assignable groups.""";group/basic.update;Groups Administrator
"""I need to update the dynamic membership rule on Security groups, excluding role-assignable groups.""";group/basic.update;Groups Administrator
"""I need to read basic properties on devices.""";Device.ReadBasic.All;Directory Readers
