request;permission;role
I need to list the access keys for the storage accounts.;Microsoft.Storage/storageAccounts/listkeys/action;Storage Account Key Operator Service Role
I need to list the access keys for the storage accounts.;Microsoft.Storage/storageAccounts/listkeys/action;Storage Account Key Operator Service Role
I need to list the access keys for the storage accounts.;Microsoft.Storage/storageAccounts/listkeys/action;Storage Account Key Operator Service Role
I need to list the access keys for the storage accounts.;Microsoft.Storage/storageAccounts/listkeys/action;Storage Account Key Operator Service Role
I need to list the access keys for the storage accounts.;Microsoft.Storage/storageAccounts/listkeys/action;Storage Account Key Operator Service Role
I need full permissions on containers.;NONE;NONE
I need full permissions on containers.;NONE;NONE
I need full permissions on containers.;NONE;NONE
I need full permissions on containers.;NONE;NONE
I need full permissions on containers.;NONE;NONE
I need to insert, merge, or replace table entities.;NONE;NONE
I need to insert, merge, or replace table entities.;NONE;NONE
I need to insert, merge, or replace table entities.;NONE;NONE
I need to insert, merge, or replace table entities.;NONE;NONE
I need to insert, merge, or replace table entities.;NONE;NONE
I need to get a virtual network subnet definition.;Microsoft.Network/virtualNetworks/subnets/read;Reader
I need to get a virtual network subnet definition.;Microsoft.Network/virtualNetworks/subnets/read;Reader
I need to get a virtual network subnet definition.;Microsoft.Network/virtualNetworks/subnets/read;Reader
I need to get a virtual network subnet definition.;Microsoft.Network/virtualNetworks/subnets/read;Reader
I need to get a virtual network subnet definition.;Microsoft.Network/virtualNetworks/subnets/read;Reader
I need to perform Backup for Protected Item.;NONE;NONE
I need to perform Backup for Protected Item.;NONE;NONE
I need to perform Backup for Protected Item.;NONE;NONE
I need to perform Backup for Protected Item.;NONE;NONE
I need to perform Backup for Protected Item.;NONE;NONE
I need to get Status of Policy Operation.;Microsoft.RecoveryServices/Vaults/backupPolicies/operations/read;NONE
I need to get Status of Policy Operation.;Microsoft.RecoveryServices/Vaults/backupPolicies/operations/read;NONE
I need to get Status of Policy Operation.;Microsoft.RecoveryServices/Vaults/backupPolicies/operations/read;NONE
I need to get Status of Policy Operation.;Microsoft.RecoveryServices/Vaults/backupPolicies/operations/read;NONE
I need to get Status of Policy Operation.;Microsoft.RecoveryServices/Vaults/backupPolicies/operations/read;NONE
I need to restore Recovery Points for Protected Items.;NONE;NONE
I need to restore Recovery Points for Protected Items.;NONE;NONE
I need to restore Recovery Points for Protected Items.;NONE;NONE
I need to restore Recovery Points for Protected Items.;NONE;NONE
I need to restore Recovery Points for Protected Items.;NONE;NONE
I need to query table entities.;Microsoft.Storage/storageAccounts/tableServices/tables/entities/read;Storage Table Data Reader
I need to query table entities.;Microsoft.Storage/storageAccounts/tableServices/tables/entities/read;Storage Table Data Reader
I need to query table entities.;Microsoft.Storage/storageAccounts/tableServices/tables/entities/read;Storage Table Data Reader
I need to query table entities.;Microsoft.Storage/storageAccounts/tableServices/tables/entities/read;Storage Table Data Reader
I need to query table entities.;Microsoft.Storage/storageAccounts/tableServices/tables/entities/read;Storage Table Data Reader
I need to create a registered container.;Microsoft.Storage/storageAccounts/blobServices/containers/write;Storage Blob Data Contributor
I need to create a registered container.;Microsoft.Storage/storageAccounts/blobServices/containers/write;Storage Blob Data Contributor
I need to create a registered container.;Microsoft.Storage/storageAccounts/blobServices/containers/write;Storage Blob Data Contributor
I need to create a registered container.;Microsoft.Storage/storageAccounts/blobServices/containers/write;Storage Blob Data Contributor
I need to create a registered container.;Microsoft.Storage/storageAccounts/blobServices/containers/write;Storage Blob Data Contributor
I need to write File Backup Semantics Privilege.;NONE;NONE
