request;permission;role
I need to list the access keys for the storage accounts.;Storage Blob Data Reader;Storage Blob Data Reader
I need to list the access keys for the storage accounts.;Storage Blob Data Reader;Storage Blob Data Reader
I need to list the access keys for the storage accounts.;Storage Blob Data Reader;Storage Blob Data Reader
I need to list the access keys for the storage accounts.;Storage Blob Data Reader;Storage Blob Data Reader
I need to list the access keys for the storage accounts.;Storage Blob Data Reader;Storage Blob Data Reader
I need full permissions on containers.;Storage Blob Data Owner;Storage Blob Data Owner
I need full permissions on containers.;Storage Blob Data Owner;Storage Blob Data Owner
I need full permissions on containers.;Storage Blob Data Owner;Storage Blob Data Owner
I need full permissions on containers.;Storage Blob Data Owner;Storage Blob Data Owner
I need full permissions on containers.;Storage Blob Data Owner;Storage Blob Data Owner
I need to insert, merge, or replace table entities.;NONE;NONE
I need to insert, merge, or replace table entities.;NONE;NONE
I need to insert, merge, or replace table entities.;NONE;NONE
I need to insert, merge, or replace table entities.;NONE;NONE
I need to insert, merge, or replace table entities.;NONE;NONE
I need to get a virtual network subnet definition.;NONE;NONE
I need to get a virtual network subnet definition.;NONE;NONE
I need to get a virtual network subnet definition.;NONE;NONE
I need to get a virtual network subnet definition.;NONE;NONE
I need to get a virtual network subnet definition.;NONE;NONE
I need to perform Backup for Protected Item.;NONE;NONE
I need to perform Backup for Protected Item.;NONE;NONE
I need to perform Backup for Protected Item.;NONE;NONE
I need to perform Backup for Protected Item.;NONE;NONE
I need to perform Backup for Protected Item.;NONE;NONE
I need to get Status of Policy Operation.;NONE;NONE
I need to get Status of Policy Operation.;NONE;NONE
I need to get Status of Policy Operation.;NONE;NONE
I need to get Status of Policy Operation.;NONE;NONE
I need to get Status of Policy Operation.;NONE;NONE
I need to restore Recovery Points for Protected Items.;NONE;NONE
I need to restore Recovery Points for Protected Items.;NONE;NONE
I need to restore Recovery Points for Protected Items.;NONE;NONE
I need to restore Recovery Points for Protected Items.;NONE;NONE
I need to restore Recovery Points for Protected Items.;NONE;NONE
I need to query table entities.;Storage Blob Data Reader;Storage Blob Data Reader
I need to query table entities.;Storage Blob Data Reader;Storage Blob Data Reader
I need to query table entities.;Storage Blob Data Reader;Storage Blob Data Reader
I need to query table entities.;Storage Blob Data Reader;Storage Blob Data Reader
I need to query table entities.;Storage Blob Data Reader;Storage Blob Data Reader
I need to create a registered container.;NONE;NONE
I need to create a registered container.;NONE;NONE
I need to create a registered container.;NONE;NONE
I need to create a registered container.;NONE;NONE
I need to create a registered container.;NONE;NONE
I need to write File Backup Semantics Privilege.;NONE;NONE
I need to write File Backup Semantics Privilege.;NONE;NONE
I need to write File Backup Semantics Privilege.;NONE;NONE
I need to write File Backup Semantics Privilege.;NONE;NONE
I need to write File Backup Semantics Privilege.;NONE;NONE
I need to unlink a Storage account from a DataLakeAnalytics account.;NONE;NONE
I need to unlink a Storage account from a DataLakeAnalytics account.;NONE;NONE
I need to unlink a Storage account from a DataLakeAnalytics account.;NONE;NONE
I need to unlink a Storage account from a DataLakeAnalytics account.;NONE;NONE
I need to unlink a Storage account from a DataLakeAnalytics account.;NONE;NONE
I need to peek a message.;Microsoft.Storage/storageAccounts/blobServices/containers/blobs/read;Storage Blob Data Reader
I need to peek a message.;Microsoft.Storage/storageAccounts/blobServices/containers/blobs/read;Storage Blob Data Reader
I need to peek a message.;Microsoft.Storage/storageAccounts/blobServices/containers/blobs/read;Storage Blob Data Reader
I need to peek a message.;Microsoft.Storage/storageAccounts/blobServices/containers/blobs/read;Storage Blob Data Reader
I need to peek a message.;Microsoft.Storage/storageAccounts/blobServices/containers/blobs/read;Storage Blob Data Reader
I need to create a Backup Instance.;NONE;NONE
I need to create a Backup Instance.;NONE;NONE
I need to create a Backup Instance.;NONE;NONE
I need to create a Backup Instance.;NONE;NONE
I need to create a Backup Instance.;NONE;NONE
I need to update an Azure resource of type 'ResourceGuard'.;NONE;NONE
I need to update an Azure resource of type 'ResourceGuard'.;NONE;NONE
