prompt;permission
I need to list the access keys for the storage accounts.;Microsoft.ClassicStorage/storageAccounts/listkeys/action
I need full permissions on containers.;Microsoft.Storage/storageAccounts/blobServices/containers/*
I need to insert, merge, or replace table entities.;Microsoft.Storage/storageAccounts/tableServices/tables/entities/write
I need to get a virtual network subnet definition.;Microsoft.Network/virtualNetworks/subnets/read
I need to perform Backup for Protected Item.;Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/protectedItems/backup/action
I need to get Status of Policy Operation.;Microsoft.RecoveryServices/Vaults/backupPolicies/operations/read
I need to restore Recovery Points for Protected Items.;Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/protectedItems/recoveryPoints/restore/action
I need to query table entities.;Microsoft.Storage/storageAccounts/tableServices/tables/entities/read
I need to create a registered container.;Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/write
I need to write File Backup Semantics Privilege.;Microsoft.Storage/storageAccounts/fileServices/writeFileBackupSemantics/action
I need to unlink a Storage account from a DataLakeAnalytics account.;Microsoft.DataLakeAnalytics/accounts/storageAccounts/Delete
I need to peek a message.;Microsoft.Storage/storageAccounts/queueServices/queues/messages/read
I need to create a Backup Instance.;Microsoft.DataProtection/backupVaults/backupInstances/write
I need to update an Azure resource of type 'ResourceGuard'.;Microsoft.DataProtection/subscriptions/resourceGroups/providers/resourceGuards/write
I need to return all Recovery Points.;Microsoft.DataProtection/backupVaults/backupInstances/recoveryPoints/read
I need to create and manage items which can be backed up.;Microsoft.RecoveryServices/Vaults/backupProtectableItems/*
I need to trigger cross region restore operation on given backup instance.;Microsoft.DataProtection/subscriptions/resourceGroups/providers/locations/crossRegionRestore/action
I need to create and update a support ticket.;Microsoft.Support/*
I need to get the availability statuses for all resources in the specified scope.;Microsoft.ResourceHealth/availabilityStatuses/read
I need to return the result of deleting a file/folder.;Microsoft.Storage/storageAccounts/fileServices/fileshares/files/delete
I need to trigger restore on the Backup Instance.;Microsoft.DataProtection/backupVaults/backupInstances/restore/action
I need to get AccessToken for Cross Region Restore.;Microsoft.RecoveryServices/vaults/backupFabrics/protectionContainers/protectedItems/recoveryPoints/accessToken/action
I need to list all backup Protection Intents.;Microsoft.RecoveryServices/Vaults/backupProtectionIntents/read
I need to return all Job Objects.;Microsoft.RecoveryServices/Vaults/backupJobs/read
I need to return Backup Operation Status for Recovery Services Vault.;Microsoft.RecoveryServices/Vaults/backupOperations/read
I need to check if the requested BackupVault Name is Available.;Microsoft.DataProtection/locations/checkNameAvailability/action
I need to create and manage registered identities.;Microsoft.RecoveryServices/Vaults/registeredIdentities/*
I need full permissions on blobs.;Microsoft.Storage/storageAccounts/blobServices/containers/blobs/*
I need to delete a blob.;Microsoft.Storage/storageAccounts/blobServices/containers/blobs/delete
I need to modify a container's metadata or properties.;Microsoft.Storage/storageAccounts/blobServices/containers/write
I need to export Jobs.;Microsoft.RecoveryServices/Vaults/backupJobsExport/action
I need to list soft-deleted Backup Instances in a Backup Vault.;Microsoft.DataProtection/backupVaults/deletedBackupInstances/read
I need to get list of Backup Vaults in a Resource Group.;Microsoft.DataProtection/backupVaults/read
